id,type,district,lon,lat,level
N_1848,junction,จอมทอง,100.47787,13.70522,-1
N_1849,junction,จอมทอง,100.47089,13.7002,-1
N_185,junction,ภาษีเจริญ,100.41775,13.73118,-1
N_1850,junction,ตลิ่งชัน,100.44059,13.75682,-1
N_1851,junction,ตลิ่งชัน,100.44353,13.77334,-1
N_1852,junction,ราษฎร์บูรณะ,100.48833,13.67937,-1
N_1853,junction,ราษฎร์บูรณะ,100.49122,13.67442,-1
N_1854,junction,ภาษีเจริญ,100.44549,13.72083,-1
N_1855,junction,ภาษีเจริญ,100.44439,13.72508,-1
N_1856,junction,จอมทอง,100.4692,13.68683,-1
N_1857,junction,จอมทอง,100.46262,13.68534,-1
N_1858,junction,บางแค,100.41334,13.74789,-1
N_1859,junction,ตลิ่งชัน,100.42578,13.75227,-1
N_186,junction,ภาษีเจริญ,100.41662,13.73561,-1
N_1860,junction,ตลิ่งชัน,100.42636,13.75753,-1
N_1861,junction,ตลิ่งชัน,100.43474,13.77292,-1
N_1862,junction,ตลิ่งชัน,100.43462,13.76909,-1
N_1863,junction,ตลิ่งชัน,100.44177,13.7677,-1
N_1864,junction,ตลิ่งชัน,100.43253,13.76926,-1
N_1865,junction,ตลิ่งชัน,100.45734,13.74518,-1
N_1866,junction,ตลิ่งชัน,100.45748,13.74399,-1
N_1867,junction,บางขุนเทียน,100.46782,13.63257,-1
N_1868,junction,บางขุนเทียน,100.47063,13.62522,-1
N_1869,junction,ตลิ่งชัน,100.41638,13.76899,-1
N_187,junction,บางกอกน้อย,100.45932,13.77834,-1
N_1870,junction,ตลิ่งชัน,100.41489,13.75856,-1
N_1871,junction,ภาษีเจริญ,100.43723,13.72473,-1
N_1872,junction,ภาษีเจริญ,100.4365,13.72456,-1
N_1873,junction,บางขุนเทียน,100.46049,13.63319,-1
N_1874,junction,บางขุนเทียน,100.46153,13.62739,-1
N_1875,junction,ตลิ่งชัน,100.45505,13.76177,-1
N_1876,junction,ตลิ่งชัน,100.45336,13.76125,-1
N_1877,junction,ตลิ่งชัน,100.44634,13.75715,-1
N_1878,junction,ตลิ่งชัน,100.44652,13.75342,-1
N_1879,junction,ภาษีเจริญ,100.43884,13.73105,-1
N_188,junction,บางกอกน้อย,100.46478,13.77105,-1
N_1880,junction,ภาษีเจริญ,100.4294,13.72966,-1
N_1881,junction,ภาษีเจริญ,100.43363,13.72389,-1
N_1882,junction,ทุ่งครุ,100.49342,13.59413,-1
N_1883,junction,ทุ่งครุ,100.49497,13.59336,-1
N_1884,junction,ตลิ่งชัน,100.44202,13.74693,-1
N_1885,junction,ตลิ่งชัน,100.44085,13.75669,-1
N_1886,junction,ตลิ่งชัน,100.43884,13.75665,-1
N_1887,junction,ตลิ่งชัน,100.43919,13.74685,-1
N_1888,junction,ตลิ่งชัน,100.43333,13.75704,-1
N_1889,junction,ตลิ่งชัน,100.43162,13.74827,-1
N_189,junction,บางกอกน้อย,100.4666,13.77114,-1
N_1890,junction,ตลิ่งชัน,100.42297,13.76185,-1
N_1891,junction,ตลิ่งชัน,100.42353,13.76931,-1
N_1892,junction,ลาดกระบัง,100.74493,13.71686,-1
N_1893,junction,ลาดกระบัง,100.75303,13.72407,-1
N_1894,junction,บางขุนเทียน,100.42345,13.51009,-1
N_1895,junction,บางขุนเทียน,100.42062,13.52629,-1
N_1896,junction,สะพานสูง,100.70615,13.79817,-1
N_1897,junction,ห้วยขวาง,100.60407,13.75102,-1
N_1898,junction,บางกะปิ,100.63504,13.77151,-1
N_1899,junction,บางกะปิ,100.6364,13.76374,-1
N_19,junction,บางบอน,100.41338,13.66254,-1
N_190,junction,บางกอกน้อย,100.46366,13.77041,-1
N_1900,junction,จตุจักร,100.58642,13.85897,-1
N_1901,junction,ลาดกระบัง,100.79747,13.75269,-1
N_1902,junction,ทุ่งครุ,100.49417,13.59564,-1
N_1903,junction,จตุจักร,100.5634,13.82463,-1
N_1904,junction,จตุจักร,100.55844,13.84605,-1
N_1905,junction,บางบอน,100.41209,13.66178,-1
N_1906,junction,บางบอน,100.41424,13.65345,-1
N_1907,junction,ราษฎร์บูรณะ,100.5043,13.67916,-1
N_1908,junction,ราษฎร์บูรณะ,100.50706,13.67788,-1
N_1909,junction,บางขุนเทียน,100.42154,13.64451,-1
N_191,junction,บางขุนเทียน,100.42985,13.52127,-1
N_1910,junction,ทุ่งครุ,100.47762,13.65917,-1
N_1911,junction,ทุ่งครุ,100.47743,13.65993,-1
N_1912,junction,สวนหลวง,100.62194,13.74641,-1
N_1913,junction,สวนหลวง,100.62944,13.7274,-1
N_1914,junction,หนองจอก,100.83467,13.76794,-1
N_1915,junction,หนองจอก,100.8353,13.7923,-1
N_1916,junction,คลองสามวา,100.70288,13.8331,-1
N_1917,junction,คลองสามวา,100.69676,13.82042,-1
N_1918,junction,ธนบุรี,100.47192,13.71039,-1
N_1919,junction,ธนบุรี,100.47319,13.71056,-1
N_192,junction,บางขุนเทียน,100.43738,13.52556,-1
N_1920,junction,คลองสามวา,100.73474,13.9183,-1
N_1921,junction,คลองสามวา,100.75181,13.91858,-1
N_1922,junction,คลองสามวา,100.73674,13.91419,-1
N_1923,junction,คลองสามวา,100.72868,13.9127,-1
N_1924,junction,ลาดกระบัง,100.86085,13.77025,-1
N_1925,junction,คันนายาว,100.66139,13.83344,-1
N_1926,junction,ลาดกระบัง,100.79495,13.79395,-1
N_1927,junction,ลาดกระบัง,100.80633,13.76463,-1
N_1928,junction,คลองสามวา,100.70445,13.84505,-1
N_1929,junction,คลองสามวา,100.68376,13.84799,-1
N_193,junction,บางขุนเทียน,100.45396,13.50073,-1
N_1930,junction,ลาดกระบัง,100.82257,13.77775,-1
N_1931,junction,หนองจอก,100.86069,13.81885,-1
N_1932,junction,บางกอกน้อย,100.47339,13.78271,-1
N_1933,junction,บางกอกน้อย,100.46969,13.77784,-1
N_1934,junction,ทุ่งครุ,100.48511,13.60036,-1
N_1935,junction,ทุ่งครุ,100.48422,13.60027,-1
N_1936,junction,บางแค,100.41989,13.72969,-1
N_1937,junction,บางแค,100.41999,13.72909,-1
N_1938,junction,คันนายาว,100.66121,13.84914,-1
N_1939,junction,คันนายาว,100.69677,13.81895,-1
N_194,junction,บางขุนเทียน,100.4538,13.60591,-1
N_1940,junction,บางกะปิ,100.62597,13.81925,-1
