quality_issue_fact_key,district_key,issue_type,severity,entity_type,entity_id,source_layer,source_path,spatial_hash_geohash7,polygon_district_code,review_status,requires_manual_review
7f54db8b9819b2e9bf29efea3c209c354308c3ff6369ec63128aad1325d64397,1021,unresolved_asset_owner,high,drainage_asset,canals:5491,canals,data/geojson/canals.geojson,w4rmq79,,unresolved,1
7677509fb13ed3cde02b63ebf232ad34b97e8979e09f218e857947359f2b4dd0,1021,unresolved_asset_owner,high,drainage_asset,canals:5492,canals,data/geojson/canals.geojson,w4rmq7d,,unresolved,1
6eb1737e6c3d63122dd51167b78105246fdbcca27687bdff0a78151c04ab9514,1021,unresolved_asset_owner,high,drainage_asset,canals:5493,canals,data/geojson/canals.geojson,w4rmq79,,unresolved,1
0769de968e4115b5ae2f19fc7ef55e2e10ac22caf3c90a3f6ff9930d39e1061b,1021,unresolved_asset_owner,high,drainage_asset,canals:5498,canals,data/geojson/canals.geojson,w4rmq5y,,unresolved,1
400010d406edcb88f18f34e0b769a568a936cabd0af5b8cc7ced2672ca23529d,1021,unresolved_asset_owner,high,drainage_asset,canals:5499,canals,data/geojson/canals.geojson,w4rmq7b,,unresolved,1
ba664321382dbf45f64ae48a6ac04d7cccabb75d1f13b3b3d663260600aab99d,1021,unresolved_asset_owner,high,drainage_asset,canals:5500,canals,data/geojson/canals.geojson,w4rmq5v,,unresolved,1
c14f50de79a9366662debf47543bc878306e7a3ec1bf8b095c1202045e4ff87b,1021,unresolved_asset_owner,high,drainage_asset,canals:5501,canals,data/geojson/canals.geojson,w4rmqhj,,unresolved,1
eb37f25c6e3cf4a0b1bcaa57094fad8bfe3e45f138b76f88158a4aa8ffbd8241,1021,unresolved_asset_owner,high,drainage_asset,canals:5502,canals,data/geojson/canals.geojson,w4rmqk5,,unresolved,1
f822435ad3bca21769c6d1ecea9554960e13e0bea659ef4c79048e04a1d79bac,1021,unresolved_asset_owner,high,drainage_asset,canals:5503,canals,data/geojson/canals.geojson,w4rmq5y,,unresolved,1
ebf6e6fb465ad4785fcce26307b06fbb9a39d1e49afbca2510659abc4c98211e,1021,unresolved_asset_owner,high,drainage_asset,canals:5504,canals,data/geojson/canals.geojson,w4rmqhp,,unresolved,1
91ebae608966b8774f88f91b3ccda44a12908f9611dc0d4fdf65bce09ba8baa1,1021,unresolved_asset_owner,high,drainage_asset,canals:5505,canals,data/geojson/canals.geojson,w4rmqhp,,unresolved,1
3b8ec763220847672b5a5162ac152f1ae06cd0476c691f8f894f43168305fb29,1021,unresolved_asset_owner,high,drainage_asset,canals:5506,canals,data/geojson/canals.geojson,w4rmqk6,,unresolved,1
8af2620bab50d98b563d28ea55f3686059b485c540386791a033b8adea0b2024,1021,unresolved_asset_owner,high,drainage_asset,canals:5507,canals,data/geojson/canals.geojson,w4rmqk4,,unresolved,1
ea7761c095f95b9bbc3841cefb7ff903e2b5b4cfa06ddb45a44cc8c00470e43e,1021,unresolved_asset_owner,high,drainage_asset,canals:5508,canals,data/geojson/canals.geojson,w4rmqhr,,unresolved,1
